YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-02,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,8297,6653
2024-02,WEEKENDS/HOLIDAY,6,TRAIN,DT28,2846,971
2024-02,WEEKDAY,6,TRAIN,DT28,15932,6989
2024-02,WEEKENDS/HOLIDAY,5,TRAIN,DT7,32,1
2024-02,WEEKDAY,5,TRAIN,DT7,182,52
2024-02,WEEKENDS/HOLIDAY,11,TRAIN,PW5,2668,1044
2024-02,WEEKDAY,11,TRAIN,PW5,2339,1514
2024-02,WEEKDAY,18,TRAIN,BP3,4582,13089
2024-02,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1754,2391
2024-02,WEEKDAY,22,TRAIN,CC28,943,3759
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,CC28,452,1557
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1635,1410
2024-02,WEEKDAY,13,TRAIN,SW6,3791,4149
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,NS8,569,1615
2024-02,WEEKDAY,0,TRAIN,NS8,689,3320
2024-02,WEEKDAY,18,TRAIN,NS14,48291,97811
2024-02,WEEKENDS/HOLIDAY,18,TRAIN,NS14,16019,16727
2024-02,WEEKDAY,12,TRAIN,EW17,22421,24084
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,EW17,12323,12584
2024-02,WEEKENDS/HOLIDAY,11,TRAIN,TE22,798,3904
2024-02,WEEKDAY,11,TRAIN,TE22,2009,4617
2024-02,WEEKDAY,17,TRAIN,NE12/CC13,72286,110451
2024-02,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,32027,37485
2024-02,WEEKDAY,8,TRAIN,NS21/DT11,105319,123483
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,15711,16925
2024-02,WEEKDAY,0,TRAIN,NE16/STC,554,4336
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,288,1951
2024-02,WEEKENDS/HOLIDAY,17,TRAIN,DT21,4820,3573
2024-02,WEEKDAY,17,TRAIN,DT21,15510,8812
2024-02,WEEKDAY,19,TRAIN,NE12/CC13,67426,130136
2024-02,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,26586,31157
2024-02,WEEKDAY,6,TRAIN,EW31,4203,9673
2024-02,WEEKENDS/HOLIDAY,6,TRAIN,EW31,1235,1944
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,EW7,6852,7800
2024-02,WEEKDAY,15,TRAIN,EW7,11248,15820
2024-02,WEEKENDS/HOLIDAY,23,TRAIN,CC23,380,464
2024-02,WEEKDAY,23,TRAIN,CC23,1820,726
2024-02,WEEKDAY,22,TRAIN,DT13,8552,8025
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,DT13,3117,4053
2024-02,WEEKDAY,23,TRAIN,NE14,2696,19722
2024-02,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1448,8789
2024-02,WEEKDAY,22,TRAIN,NS9/TE2,24808,60202
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,13193,26657
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,DT22,4737,6896
2024-02,WEEKDAY,12,TRAIN,DT22,7583,9238
2024-02,WEEKDAY,18,TRAIN,DT28,33491,24277
2024-02,WEEKENDS/HOLIDAY,18,TRAIN,DT28,5738,6093
2024-02,WEEKDAY,12,TRAIN,DT34,5900,4125
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,DT34,2464,1756
2024-02,WEEKDAY,9,TRAIN,SW7,4184,1172
2024-02,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1621,502
2024-02,WEEKDAY,12,TRAIN,NE17/PTC,37823,36544
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,24568,20755
2024-02,WEEKDAY,19,TRAIN,NE8,37947,60723
2024-02,WEEKENDS/HOLIDAY,19,TRAIN,NE8,28154,27118
2024-02,WEEKDAY,21,TRAIN,CC24,22415,4537
2024-02,WEEKENDS/HOLIDAY,21,TRAIN,CC24,3165,1966
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,29322,32225
2024-02,WEEKDAY,12,TRAIN,EW8/CC9,40029,50770
2024-02,WEEKDAY,20,TRAIN,BP5,1439,2240
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,BP5,643,749
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,EW15,8628,11212
2024-02,WEEKDAY,12,TRAIN,EW15,34688,35697
2024-02,WEEKDAY,7,TRAIN,SW4,9965,1264
2024-02,WEEKENDS/HOLIDAY,7,TRAIN,SW4,626,263
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,DT33,2038,9670
2024-02,WEEKDAY,22,TRAIN,DT33,3622,23287
2024-02,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,21324,36735
2024-02,WEEKDAY,11,TRAIN,EW24/NS1,35247,63579
2024-02,WEEKDAY,21,TRAIN,NS13,40818,63865
2024-02,WEEKENDS/HOLIDAY,21,TRAIN,NS13,17345,25925
2024-02,WEEKENDS/HOLIDAY,5,TRAIN,NS13,4685,726
2024-02,WEEKDAY,5,TRAIN,NS13,24798,3850
2024-02,WEEKDAY,5,TRAIN,PW6,696,13
2024-02,WEEKENDS/HOLIDAY,5,TRAIN,PW6,117,0
2024-02,WEEKDAY,13,TRAIN,CC21,15033,9910
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,CC21,5427,5766
2024-02,WEEKENDS/HOLIDAY,14,TRAIN,PE7,2028,1998
2024-02,WEEKDAY,14,TRAIN,PE7,3443,4876
2024-02,WEEKENDS/HOLIDAY,10,TRAIN,CC20,2966,2282
2024-02,WEEKDAY,10,TRAIN,CC20,5325,3128
2024-02,WEEKDAY,21,TRAIN,EW25,4694,12574
2024-02,WEEKENDS/HOLIDAY,21,TRAIN,EW25,2947,5717
2024-02,WEEKENDS/HOLIDAY,16,TRAIN,CC2,3069,2245
2024-02,WEEKDAY,16,TRAIN,CC2,6799,3780
2024-02,WEEKDAY,14,TRAIN,CC12,10210,6420
2024-02,WEEKENDS/HOLIDAY,14,TRAIN,CC12,2417,2588
2024-02,WEEKDAY,16,TRAIN,NS20,57589,27963
2024-02,WEEKENDS/HOLIDAY,16,TRAIN,NS20,14916,11209
2024-02,WEEKENDS/HOLIDAY,16,TRAIN,NS14,15310,13258
2024-02,WEEKDAY,16,TRAIN,NS14,27316,31975
2024-02,WEEKDAY,11,TRAIN,NS15,18291,13579
2024-02,WEEKENDS/HOLIDAY,11,TRAIN,NS15,6892,3953
2024-02,WEEKENDS/HOLIDAY,5,TRAIN,EW21/CC22,347,61
2024-02,WEEKDAY,5,TRAIN,EW21/CC22,2212,1059
2024-02,WEEKENDS/HOLIDAY,11,TRAIN,BP4,987,552
2024-02,WEEKDAY,11,TRAIN,BP4,9626,3039
2024-02,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2/TE20,1353,2739
2024-02,WEEKDAY,11,TRAIN,NS27/CE2/TE20,4613,4593
2024-02,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,16747,10831
2024-02,WEEKDAY,9,TRAIN,NS17/CC15,58519,27717
2024-02,WEEKENDS/HOLIDAY,6,TRAIN,EW10,3582,1163
2024-02,WEEKDAY,6,TRAIN,EW10,18049,4079
2024-02,WEEKDAY,8,TRAIN,NS28,1836,3212
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,NS28,1104,2527
2024-02,WEEKENDS/HOLIDAY,7,TRAIN,EW33,2729,2688
2024-02,WEEKDAY,7,TRAIN,EW33,10597,14448
2024-02,WEEKDAY,18,TRAIN,BP12,3301,6956
2024-02,WEEKENDS/HOLIDAY,18,TRAIN,BP12,921,892
